DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0025-RackA,51.89,50.16,70.34,,77.0,191.8,,28.4,0.77,609.1,350.9
store0025-RackA,51.48,49.71,70.39,,77.0,193.5,,28.7,0.77,610.4,351.7
store0025-RackA,51.48,49.71,70.39,,77.2,194.8,,28.6,0.77,611.0,352.0
store0025-RackA,51.48,50.01,70.45,,77.2,194.8,,28.2,0.76,610.9,352.0
store0025-RackA,51.76,50.01,70.45,,77.2,187.9,,28.3,0.77,611.6,352.4
store0025-RackA,51.76,50.18,70.48,,77.23,192.7,,27.8,0.76,611.4,352.4
store0025-RackA,51.6,50.18,70.48,,77.23,192.7,,28.1,0.76,612.2,352.7
store0025-RackA,51.67,49.81,70.54,,77.29,192.7,,28.7,0.76,612.7,353.0
store0025-RackA,51.69,49.81,70.57,,77.45,192.9,,28.3,0.77,611.5,352.3
store0025-RackA,51.82,49.98,70.57,,77.45,192.9,,29.0,0.77,612.0,352.6
store0025-RackA,51.82,49.98,70.57,,77.76,192.9,,28.3,0.76,612.6,352.9
store0025-RackA,51.82,49.98,70.57,,77.76,195.3,,28.2,0.77,612.5,352.9
store0025-RackA,51.82,49.98,70.57,,77.76,195.3,,18.6,0.76,613.5,353.4
store0025-RackA,51.82,49.98,70.57,,78.19,190.3,,11.6,0.61,612.9,353.1
store0025-RackA,51.82,49.98,70.57,,78.46,184.3,,11.3,0.6,613.2,353.3
store0025-RackA,51.82,49.98,70.57,,78.58,184.3,,11.4,0.6,613.5,353.5
store0025-RackA,51.82,49.98,70.57,,78.8,182.6,,11.3,0.6,612.9,353.1
store0025-RackA,51.82,49.98,70.65,,79.11,188.2,,11.3,0.59,613.6,353.5
store0025-RackA,51.82,49.68,70.65,,79.32,198.4,,11.6,0.6,613.8,353.7
store0025-RackA,51.82,49.68,70.65,,79.57,198.4,,11.6,0.6,614.1,353.8
store0025-RackA,51.46,49.03,70.65,,79.57,197.1,,11.7,0.62,613.5,353.5
store0025-RackA,51.71,49.03,70.65,,79.75,202.4,,11.8,0.62,613.6,353.6
store0025-RackA,51.71,49.03,70.65,,79.93,202.9,,12.0,0.62,611.7,352.5
store0025-RackA,51.71,49.78,70.65,,80.15,202.9,,11.9,0.62,612.1,352.8
store0025-RackA,51.62,49.91,70.65,,80.28,199.8,,21.6,0.67,612.5,352.9
store0025-RackA,51.26,49.41,70.65,,80.49,211.0,,21.7,0.68,611.3,352.2
store0025-RackA,51.26,49.41,70.65,,80.71,211.0,,22.1,0.69,610.8,352.0
store0025-RackA,51.42,49.41,70.65,,80.71,216.3,,22.1,0.69,610.8,352.0
store0025-RackA,51.31,49.41,70.65,,80.83,216.3,,22.0,0.69,611.7,352.5
store0025-RackA,51.31,49.51,70.65,,81.01,222.3,,21.9,0.69,611.3,352.2
store0025-RackA,51.08,48.93,70.65,,81.1,221.5,,21.7,0.68,611.6,352.5
store0025-RackA,50.83,48.71,70.65,,81.23,222.6,,21.7,0.69,612.2,352.8
store0025-RackA,50.9,49.33,70.65,,81.32,222.7,,21.8,0.68,611.5,352.3
store0025-RackA,50.9,49.11,70.65,,81.48,222.7,,21.5,0.68,613.1,353.3
store0025-RackA,50.9,49.11,70.65,,81.57,222.7,,21.3,0.67,613.3,353.4
store0025-RackA,50.5,48.53,70.65,,81.57,222.1,,21.5,0.68,612.5,352.9
store0025-RackA,51.21,48.53,70.65,,81.75,221.6,,21.9,0.69,612.1,352.7
store0025-RackA,51.21,48.66,70.65,,81.79,215.9,,29.7,0.77,611.8,352.5
store0025-RackA,50.59,48.33,70.65,,81.88,216.2,,29.8,0.78,611.6,352.4
store0025-RackA,50.22,48.61,69.98,,81.97,220.9,,21.4,0.69,607.8,350.3
store0025-RackA,50.65,48.83,70.02,,82.15,220.9,,30.1,0.78,609.8,351.4
store0025-RackA,50.18,48.83,69.93,,82.53,220.9,,30.0,0.78,609.8,351.4
store0025-RackA,50.18,48.83,69.93,,82.62,220.9,,30.1,0.78,610.5,351.8
store0025-RackA,50.18,48.83,69.87,,82.62,220.9,,30.1,0.78,609.2,351.0
store0025-RackA,50.49,49.31,69.84,,82.71,220.9,,29.4,0.77,610.4,351.7
store0025-RackA,50.49,49.31,69.84,,82.87,215.6,,28.8,0.77,608.7,350.8
store0025-RackA,50.85,49.31,69.84,,82.99,180.6,,27.8,0.76,610.7,352.0
store0025-RackA,51.17,49.31,69.84,,83.14,180.6,,28.6,0.77,610.9,352.0
store0025-RackA,51.17,50.78,69.84,,83.17,180.6,,29.0,0.77,610.0,351.5
store0025-RackA,51.17,50.78,69.84,,83.17,180.6,,19.1,0.77,610.9,352.1
store0025-RackA,51.17,50.78,69.84,,83.43,199.6,,18.9,0.77,610.4,351.8
store0025-RackA,51.17,51.08,69.84,,83.55,193.1,,19.0,0.77,610.1,351.6
store0025-RackA,51.3,51.08,69.84,,83.7,193.1,,19.5,0.77,612.3,352.8
store0025-RackA,51.3,51.08,69.84,,83.73,195.4,,19.0,0.77,610.5,351.9
